date,reward,terminated,truncated,portfolio_value,position,drawdown,current_step,prev_close,open_price,close_price,prev_position,delta_position
19910503,0.0,False,False,1000000.0,0.014142640866339207,0.0,20,61.26,60.95,60.95,0.0,0.014142640866339207
19910506,-0.00014386279470279294,False,False,999928.0686026486,0.5990018248558044,7.193139735143631e-05,21,60.95,60.64,60.64,0.014142640866339207,0.5848591839894652
19910507,-0.012122656054850288,False,False,993902.9229880593,0.0,0.006097077011940652,22,60.64,60.03,60.03,0.5990018248558044,-0.5990018248558044
19910508,-0.006097077011940652,False,False,993902.9229880593,0.0,0.006097077011940652,23,60.03,59.73,59.73,0.0,0.0
19910509,-0.006097077011940652,False,False,993902.9229880593,0.0,0.006097077011940652,24,59.73,59.44,59.44,0.0,0.0
19910510,-0.006097077011940652,False,False,993902.9229880593,1.0,0.006097077011940652,25,59.44,59.14,59.14,0.0,1.0
19910513,-0.02598890529335699,False,False,983987.4220654527,0.0,0.01601257793454733,26,59.14,58.55,58.55,1.0,-1.0
19910514,-0.01601257793454733,False,False,983987.4220654527,1.0,0.01601257793454733,27,58.55,58.25,58.25,0.0,1.0
19910515,-0.025889940207491108,False,False,979088.6005650411,1.0,0.020911399434958934,28,58.25,57.96,57.96,1.0,0.0
19910516,-0.031155129251548355,False,False,974020.8541853047,0.785362720489502,0.02597914581469528,29,57.96,57.66,57.66,1.0,-0.21463727951049805
19910517,-0.03350759306993045,False,False,970306.1697073338,0.6902502179145813,0.029693830292666215,30,57.66,57.38,57.38,0.785362720489502,-0.09511250257492065
19910520,-0.04296678929021597,False,False,963769.7063882812,0.0,0.036230293611718804,31,57.38,56.82,56.82,0.6902502179145813,-0.6902502179145813
19910521,-0.036230293611718804,False,False,963769.7063882812,0.36389854550361633,0.036230293611718804,32,56.82,56.53,56.53,0.0,0.36389854550361633
19910522,-0.039769858854253,False,False,962032.5751231221,0.0,0.037967424876877924,33,56.53,56.25,56.25,0.36389854550361633,-0.36389854550361633
19910523,-0.037967424876877924,False,False,962032.5751231221,0.02979474700987339,0.037967424876877924,34,56.25,55.97,55.97,0.0,0.02979474700987339
19910524,-0.03825987286644838,False,False,961889.1807187359,0.0,0.03811081928126409,35,55.97,55.69,55.69,0.02979474700987339,-0.02979474700987339
19910527,-0.03811081928126409,False,False,961889.1807187359,0.0,0.03811081928126409,36,55.69,55.13,55.13,0.0,0.0
19910528,-0.03811081928126409,False,False,961889.1807187359,0.7168115973472595,0.03811081928126409,37,55.13,54.84,54.84,0.0,0.7168115973472595
19910529,-0.044778202186749584,False,False,958620.2481289012,0.0,0.04137975187109876,38,54.84,54.58,54.58,0.7168115973472595,-0.7168115973472595
19910530,-0.04137975187109876,False,False,958620.2481289012,0.0,0.04137975187109876,39,54.58,54.31,54.31,0.0,0.0
19910531,-0.04137975187109876,False,False,958620.2481289012,0.0,0.04137975187109876,40,54.31,54.04,54.04,0.0,0.0
19910603,-0.04137975187109876,False,False,958620.2481289012,0.844471275806427,0.04137975187109876,41,54.04,53.5,53.5,0.0,0.844471275806427
19910604,-0.04941787561571562,False,False,954686.0969396053,1.0,0.04531390306039469,42,53.5,53.24,53.24,0.844471275806427,0.155528724193573
19910605,-0.04531390306039469,False,False,954686.0969396053,0.0,0.04531390306039469,43,53.24,53.24,53.24,1.0,-1.0
19910606,-0.04531390306039469,False,False,954686.0969396053,0.0,0.04531390306039469,44,53.24,52.7,52.7,0.0,0.0
19910607,-0.04531390306039469,False,False,954686.0969396053,0.0,0.04531390306039469,45,52.7,52.43,52.43,0.0,0.0
19910610,-0.04531390306039469,False,False,954686.0969396053,0.36604756116867065,0.04531390306039469,46,52.43,51.9,51.9,0.0,0.36604756116867065
19910611,-0.04889833659498261,False,False,952935.4276806215,1.0,0.047064572319378495,47,51.9,51.64,51.64,0.36604756116867065,0.6339524388313293
19910612,-0.05651913964935828,False,False,948322.0687162498,0.0,0.05167793128375022,48,51.64,51.39,51.39,1.0,-1.0
19910613,-0.05167793128375022,False,False,948322.0687162498,0.0,0.05167793128375022,49,51.39,51.14,51.14,0.0,0.0
